,Beta,Dividend Yield,Forward P/E,Trailing P/E,Market Cap,Trailing EPS,Forward EPS,PEG Ratio,Price To Book,E/V to EBITDA,Free Cash Flow,Deb To Equity,Earnings Growth,Ebitda margins,Quick Ratio,Target Mean Price,Return on Equity,Revenue Growth,Current Ratio,Current Price
REG,1.103022,0.0388,33.659794,33.659794,11180209152.0,1.94,1.94,51.52,1.836488,18.649,584689280.0,63.368,1.425,0.64909,1.124,68.31,0.07862,0.104,1.229,65.3
PNW,0.330779,0.0463,19.262085,15.010905,8540398080.0,5.043,3.93,179.3,1.4081362,10.037,-500631264.0,137.621,-0.525,0.42848998,0.284,70.71,0.10402001,0.125,0.999,75.7
AAL,1.548318,,-136.27272,,9706234880.0,-5.184,-0.11,0.14,,44.357,-761124992.0,,21.978,0.022839999,0.631,16.86,,0.795,0.814,14.99
RHI,1.487867,0.0217,14.313933,17.349295,9035543552.0,4.678,5.67,1.07,6.7509565,8.001,,18.082,0.203,0.14522,,80.0,,0.179,,81.16
WHR,1.561941,0.0405,6.6279807,5.3191285,10129518592.0,31.351,25.16,7.07,2.0492277,5.572,427375008.0,139.059,,0.11623,0.575,198.17,0.15795,-0.043,1.114,166.76
SNA,1.090251,0.0254,15.239174,15.6104555,12245596160.0,14.653,15.01,3.02,3.0363853,9.57,318987488.0,29.122,0.136,0.27424,2.218,234.11,0.21273,0.047,3.276,228.74
PHM,1.339719,0.0138,4.8382516,6.847641,11208544256.0,6.465,9.15,0.44,1.5804505,3.974,365710112.0,32.936,0.436,0.20135,0.294,54.08,0.3055,0.169,4.568,44.27
NLSN,1.383141,0.01,15.250001,12.574439,9852547072.0,2.183,1.8,2.41,3.184455,12.871,595124992.0,156.585,0.429,0.3058,1.674,27.43,0.1703,0.024,2.044,27.45
RE,0.610898,0.0253,9.336317,10.721429,10677660672.0,25.297,29.05,0.13,1.070332,,1001472384.0,34.896,-0.817,0.0,1.077,,0.08071,-0.053,1.573,271.22
HAS,0.830991,0.0356,14.671641,23.990236,10848152576.0,3.278,5.36,0.87,3.5928361,12.494,1344662528.0,135.859,,0.17844999,0.869,102.45,0.18253,0.013,1.43,78.64
BWA,1.378458,0.0177,8.421611,12.390898,9530897408.0,3.208,4.72,0.32,1.4340861,5.865,598000000.0,61.052,2.11,0.14473,1.214,45.04,0.109919995,-0.034,1.721,39.75
HST,1.240527,0.0135,73.69231,,13680910336.0,-0.56,0.26,0.88,2.2349236,20.857,203375008.0,71.121,,0.23321,4.031,22.0,0.03999,1.637,8.278,19.16
HII,0.713069,0.0218,15.581905,13.639309,9107467264.0,16.668,14.59,1.02,4.164575,11.708,124250000.0,120.092,-0.049,0.10212,1.041,231.13,0.22329001,0.131,1.151,227.34
WRK,1.057045,0.023599999,8.181287,13.408946,11041803264.0,3.13,5.13,0.42,0.9530189,6.23,1318174976.0,78.227,-0.643,0.15491,0.878,54.77,0.07058,0.213,1.53,41.97
AAP,1.214559,0.031,15.10482,20.105917,12310163456.0,9.819,13.07,1.25,3.8213036,14.122,220026000.0,136.984,-0.196,0.099300005,0.217,222.06,0.1778,0.013,1.199,197.42
CZR,2.816091,,37.65649,,10545471488.0,-5.422,1.31,-0.58,2.158862,13.663,3219749888.0,683.957,,0.25688,0.246,82.43,-0.23997,0.279,0.995,49.33
FFIV,1.153256,,12.91654,31.88015,10423693312.0,5.34,13.18,1.74,4.374775,18.452,472961888.0,26.674,-0.062,0.19931999,0.675,196.8,0.15217,0.035,0.955,170.24
LUMN,1.005959,0.091800004,7.0569615,,11416373248.0,-0.709,1.58,-0.19,1.0280287,5.14,-4395250176.0,235.597,0.345,0.40069,0.335,10.4,0.18291001,-0.07,2.082,11.15
CPB,0.361004,0.03,17.213058,16.049343,15114055680.0,3.121,2.91,12.72,4.6760645,11.296,1062499968.0,147.069,0.192,0.20573,0.262,46.71,0.29703,0.074,0.686,50.09
TPR,1.39421,0.0297,9.033079,12.149213,9767576576.0,2.922,3.93,0.53,3.0990834,7.443,734462528.0,128.458,0.438,0.21440001,0.86,44.2,0.31254,0.129,1.476,35.5
FOXA,0.947737,0.0145000005,10.233147,12.315754,20070889472.0,2.958,3.56,1.64,1.8184087,7.473,992499968.0,67.533,-0.479,0.20982,3.287,42.98,0.105450004,0.075,3.732,36.43
MGM,2.181353,0.00029999999,41.070587,27.99519,16371393536.0,1.247,0.85,0.65,2.4009628,18.871,526298240.0,237.145,,0.19753,0.985,51.84,0.14165,0.788,1.254,34.91
QRVO,1.36143,,8.267681,11.25932,11983444992.0,9.656,13.15,0.81,2.540187,7.336,607447360.0,46.71,-0.247,0.35755002,2.335,133.81,0.22507,0.087,3.629,108.72
NDSN,0.940825,0.0088,24.8179,30.813955,13875119104.0,7.74,9.61,1.82,6.4237237,18.007,436300736.0,41.971,-0.113,0.31401,0.859,265.29,0.23313,0.078,1.467,238.5
TAP,0.819923,0.0254,13.79562,,12329245696.0,-2.046,4.11,5.47,0.92637974,8.654,667587520.0,54.381,0.8,0.22169,0.373,55.6,0.07997,0.167,0.807,56.7
AIZ,0.550021,0.0155,13.51861,7.2200384,9312272384.0,22.637,12.09,0.76,1.6375277,9.632,3350437376.0,43.875,-0.018,0.1046,0.145,206.33,0.11257,0.021,0.432,163.44
ETSY,1.737335,,33.14451,34.059994,14539245568.0,3.367,3.46,2.77,27.188242,29.269,471123488.0,410.896,-0.251,0.20542,2.282,117.52,0.73867,0.106,2.934,114.68
IPG,1.028948,0.0388,11.636016,17.148504,11958339584.0,1.771,2.61,2.87,3.7693932,8.47,808587520.0,133.664,-0.121,0.18104,0.973,33.86,0.3009,0.047,1.035,30.37
GL,0.908045,0.0082,12.32403,13.750846,10254417920.0,7.385,8.24,0.84,1.1931478,12.07,,30.011,-0.068,0.18912001,,112.25,,0.017,,101.55
CMA,1.349084,0.035,14.461407,10.49807,11057171456.0,8.031,5.83,-0.88,1.4907875,,,,-0.172,0.0,,93.11,0.13086,-0.074,,84.31
ALLE,1.054065,0.0155,17.977274,20.218246,9223430144.0,5.086,5.72,1.93,10.672548,17.205,238324992.0,273.259,-0.008,0.20877,2.053,120.23,0.59294,0.035,2.872,102.83
HSIC,0.738612,,16.534483,17.464148,10639069184.0,4.393,4.64,2.1,3.086827,12.301,549548032.0,25.201,0.121,0.08492,0.732,87.27,0.14462,0.087,1.786,76.72
NRG,0.957428,0.037100002,10.927027,4.0527267,9898841088.0,9.976,3.7,0.26,2.4267707,2.354,1215624960.0,165.646,,0.26801002,0.341,44.18,1.22346,-0.024,1.376,40.43
SEE,1.171988,0.013099999,13.932039,18.90023,8504211456.0,3.037,4.12,1.35,67.13451,11.082,380150016.0,1978.361,0.409,0.19712,0.711,71.23,3.6669,0.119,1.313,57.4
MKTX,0.584929,0.010299999,33.71229,36.38714,10114668544.0,7.31,7.89,4.3,9.584534,26.773,49609624.0,8.549,0.006,0.53508,10.46,308.78,0.23912,0.033,12.851,265.99
CRL,1.261813,,19.76178,29.331692,11428672512.0,7.721,11.46,1.5,4.709393,16.568,494161120.0,111.615,0.508,0.25821,0.956,317.08,0.17603001,0.108,1.341,226.47
LW,0.495104,0.0123000005,29.744444,45.891426,11730720768.0,1.75,2.7,1.08,27.447025,21.492,85837504.0,756.727,-0.5,0.15528,1.391,84.57,0.47771,0.145,2.374,80.31
JNPR,0.936143,0.03,14.663265,63.86667,9345701888.0,0.45,1.96,1.04,2.131415,14.292,99512496.0,42.674,0.842,0.13975,1.059,33.06,0.09102,0.083,1.575,28.74
BIO,0.930608,,40.585365,2.4906113,16421982208.0,220.476,13.53,2.19,1.0715038,22.259,340624512.0,15.597,,0.25274,3.95,690.0,-0.18934,-0.035,5.295,549.12
DXC,2.106002,,6.118604,17.30921,6636408320.0,1.52,4.3,0.49,1.3906654,3.626,1600625024.0,114.753,,0.18837999,0.952,37.7,0.13779001,-0.086,1.087,26.31
PNR,1.070668,0.0172,13.240001,16.434956,8215983104.0,3.021,3.75,1.57,3.5140493,11.921,248587504.0,38.72,0.168,0.1856,0.636,56.29,0.23323,0.131,1.385,49.65
ZION,1.282673,0.0279,12.418654,8.088443,8957507584.0,7.078,4.61,-0.29,1.2218807,,,,-0.38,0.0,,63.1,0.12572,-0.18,,57.25
BBWI,1.709237,0.0225,9.455421,6.8350463,10113051648.0,5.741,4.15,0.76,,5.829,715124992.0,,-0.344,0.29496,0.66,,,-0.014,1.413,39.24
FRT,1.146871,0.0405,47.969433,36.422413,8545177088.0,3.016,2.29,-15.08,3.7126539,21.192,285615744.0,143.126,0.054,0.61201,1.061,118.71,0.09664,0.185,1.814,109.85
DVA,1.195402,,10.929594,10.696017,9333020672.0,8.563,8.38,1.28,8.218035,8.949,1286042112.0,493.73,-0.23,0.20273,1.177,107.38,0.43376,-0.001,1.293,91.59
NWL,0.740315,0.045500003,11.037234,14.716312,8827049984.0,1.41,1.88,2.47,2.176878,10.01,154750000.0,148.923,0.065,0.1322,0.407,26.1,0.18195,-0.065,1.027,20.75
IVZ,1.28395,0.2029,6.62724,7.3083005,8527717376.0,2.53,2.79,,0.77038455,5.658,,10.015,-0.671,0.27485,,,0.09601,-0.111,,18.49
BEN,1.185185,0.0423,7.544737,8.030812,14386462720.0,3.57,3.8,-7.79,1.2818564,6.49,-633449984.0,28.576,-0.416,0.29029,1.707,24.11,0.14243001,-0.065,4.372,28.67
CCL,2.153682,,6.236686,,12287110144.0,-8.46,1.69,-0.26,0.8041504,-10.201,-3784750080.0,440.617,,-0.66758,0.581,,-0.70263,48.0,0.639,10.54
WYNN,2.186036,,-164.80489,,7815010816.0,-7.588,-0.41,0.11,,35.894,-155658752.0,,,0.11428001,2.17,83.77,,0.294,2.309,67.57
ALK,1.469135,,10.435666,444.51923,5793127424.0,0.104,4.43,-0.45,1.6405834,7.14,445750016.0,107.449,-0.652,0.10731,0.78,62.5,0.0584,0.741,0.863,46.23
CDAY,1.531471,,148.88889,,10139177984.0,-0.561,0.45,7.98,4.5584435,1204.137,192650000.0,59.151,,0.00711,0.065,,-0.03888,0.251,1.046,67.0
NWSA,1.325244,0.0117,18.126215,22.493977,11090447360.0,0.83,1.03,0.99,1.3477225,9.871,825124992.0,42.407,0.071,0.13016,0.977,27.55,0.06665,0.067,1.18,18.67
LNC,1.9106,0.035099998,4.5008974,7.191623,9060748288.0,6.972,11.14,0.32,0.44074082,5.017,2934874880.0,49.517,-0.5,0.09802,0.515,60.79,0.07486,0.034,2.546,50.14
PENN,2.262239,,15.148936,15.09114,6034698240.0,2.359,2.35,3.98,1.8294876,10.806,575287488.0,328.732,-0.473,0.25236,1.717,51.44,0.113649994,0.227,1.882,35.6
XRAY,0.946785,0.0138,11.652037,19.542585,8125622272.0,1.902,3.19,1.63,1.5863599,10.74,497249984.0,48.43,-0.435,0.21891001,0.83,43.18,0.07503,-0.06,1.447,37.17
MHK,1.290762,,8.068458,2.5274906,8541732864.0,49.89534,15.63,1.16,0.98072916,5.64,56473124.0,34.492,-0.087,0.16073,0.661,160.8,0.113479994,0.067,1.514,126.11
AOS,1.139208,0.0177,17.988472,21.598614,9934892032.0,2.89,3.47,2.18,5.2383347,13.174,275400000.0,18.471,0.11,0.18995,1.164,65.5,0.28663,0.123,1.757,62.42
ROL,0.568752,0.0104,48.223686,51.838757,18033596416.0,0.707,0.76,6.44,16.368916,35.714,325521248.0,42.839,0.0,0.21107,0.8,36.25,0.30227,0.119,0.979,36.65
RCL,2.525755,,97.023254,,10629838848.0,-21.576,0.43,-0.11,1.643555,-18.253,-2547301888.0,701.746,,-0.36992002,0.226,76.14,-0.79245,41.901,0.304,41.72
UHS,1.161345,0.0070999996,9.100491,8.966433,8953182208.0,12.423,12.24,1.75,1.4270341,7.896,444949632.0,85.121,-0.42,0.12887,0.988,117.61,0.12224,0.039,1.223,111.39
NWS,1.325244,0.0116,,22.771084,11133422592.0,0.83,,,1.3643254,9.933,825124992.0,42.407,0.071,0.13016,0.977,,0.06665,0.067,1.18,18.9
FOX,0.947737,0.0155,14.323404,11.379311,20043993088.0,2.958,2.35,2.72,1.6801437,7.049,992499968.0,67.533,-0.479,0.20982,3.287,51.5,0.105450004,0.075,3.732,33.66
VNO,1.251596,0.0698,42.971832,,5848186880.0,-0.627,0.71,3.04,1.1440679,20.203,710952384.0,130.756,5.904,0.45731997,3.312,32.5,0.031889997,0.163,3.715,30.51
RL,1.389953,0.0304,12.191882,18.331793,7296916992.0,5.407,8.13,0.21,2.5517454,7.298,651562496.0,133.75,,0.16978,1.393,116.76,0.23347999,0.183,1.87,99.12
DISH,1.949765,,6.99278,4.6573696,10242894848.0,4.159,2.77,-0.25,0.68488795,8.293,-6864195072.0,143.174,-0.313,0.20321,0.537,40.14,0.14882,-0.037,0.658,19.37
NCLH,2.524478,,-688.0,,5736434176.0,-10.773,-0.02,0.22,1.7659138,-9.072,-1373768192.0,947.255,,-1.62832,0.642,21.2,-1.3999001,167.368,0.77,13.76
PVH,2.083865,0.0023999999,6.8632727,9.825688,4812359168.0,6.999,10.02,-1.15,0.93534076,5.798,867362496.0,72.298,0.406,0.13512,0.668,85.19,0.19504999,0.021,1.386,68.77
EMBC,,,,,,,,,,6.138,,,-0.262,0.42819,1.664,25.0,,-0.034,2.525,30.0
VNT,,0.0039,8.029901,9.423002,4086180096.0,2.565,3.01,1.17,8.681753,9.258,314387488.0,477.822,1.781,0.22927,0.951,33.0,1.3957801,0.058,1.482,24.17
